symbol;currency_group;currency_base;currency_quote
"AED/ARS";"Exotic-Cross";"UAE Dirham";"Argentinian Peso"
"AED/AUD";"Exotic-Cross";"UAE Dirham";"Australian Dollar"
"AED/BBD";"Exotic-Cross";"UAE Dirham";"Barbadian Dollar"
"AED/BRL";"Exotic-Cross";"UAE Dirham";"Brazil Real"
"AED/CAD";"Exotic-Cross";"UAE Dirham";"Canadian Dollar"
"AED/CHF";"Exotic-Cross";"UAE Dirham";"Swiss Franc"
"AED/CLP";"Exotic-Cross";"UAE Dirham";"Chilean Peso"
"AED/EUR";"Exotic-Cross";"UAE Dirham";"Euro"
"AED/GBP";"Exotic-Cross";"UAE Dirham";"British Pound"
"AED/HKD";"Exotic-Cross";"UAE Dirham";"Hong Kong Dollar"
"AED/INR";"Exotic-Cross";"UAE Dirham";"Indian Rupee"
"AED/JMD";"Exotic-Cross";"UAE Dirham";"Jamaican Dollar"
"AED/JPY";"Exotic-Cross";"UAE Dirham";"Japanese Yen"
"AED/KRW";"Exotic-Cross";"UAE Dirham";"Korean Won"
"AED/KWD";"Exotic-Cross";"UAE Dirham";"Kuwaiti Dinar"
"AED/LBP";"Exotic-Cross";"UAE Dirham";"Lebanese Pound"
"AED/LKR";"Exotic-Cross";"UAE Dirham";"Sri Lankan Rupee"
"AED/MAD";"Exotic-Cross";"UAE Dirham";"Moroccan Dirham"
"AED/MYR";"Exotic-Cross";"UAE Dirham";"Malaysian Ringgit"
"AED/NAD";"Exotic-Cross";"UAE Dirham";"Namibian Dollar"
"AED/NOK";"Exotic-Cross";"UAE Dirham";"Norwegian Krone"
"AED/NPR";"Exotic-Cross";"UAE Dirham";"Nepalese Rupee"
"AED/NZD";"Exotic-Cross";"UAE Dirham";"New Zealand Dollar"
"AED/OMR";"Exotic-Cross";"UAE Dirham";"Omani Rial"
"AED/PAB";"Exotic-Cross";"UAE Dirham";"Panamanian Balboa"
"AED/PKR";"Exotic-Cross";"UAE Dirham";"Pakistani Rupee"
"AED/QAR";"Exotic-Cross";"UAE Dirham";"Qatari Riyal"
"AED/RON";"Exotic-Cross";"UAE Dirham";"Romanian Leu"
"AED/SAR";"Exotic-Cross";"UAE Dirham";"Saudi Riyal"
"AED/SEK";"Exotic-Cross";"UAE Dirham";"Swedish Krona"
"AED/SGD";"Exotic-Cross";"UAE Dirham";"Singapore Dollar"
"AED/TRY";"Exotic-Cross";"UAE Dirham";"Turkish Lira"
"AED/USD";"Exotic";"UAE Dirham";"US Dollar"
"AED/VEF";"Exotic-Cross";"UAE Dirham";"Venezuelan Bolivar"
"AED/XAF";"Exotic-Cross";"UAE Dirham";"Central African CFA franc"
"AED/XCD";"Exotic-Cross";"UAE Dirham";"East Caribbean Dollar"
"AED/XOF";"Exotic-Cross";"UAE Dirham";"West African CFA franc"
"AED/ZAR";"Exotic-Cross";"UAE Dirham";"South African Rand"
"AFN/USD";"Minor";"Afghanistan Afghani";"US Dollar"
"ARS/AED";"Exotic-Cross";"Argentinian Peso";"UAE Dirham"
"ARS/BBD";"Exotic-Cross";"Argentinian Peso";"Barbadian Dollar"
"ARS/BHD";"Exotic-Cross";"Argentinian Peso";"Baharain Dinar"
"ARS/BRL";"Exotic-Cross";"Argentinian Peso";"Brazil Real"
"ARS/CNY";"Exotic-Cross";"Argentinian Peso";"Chinese Yuan"
"ARS/CZK";"Exotic-Cross";"Argentinian Peso";"Czech Koruna"
"ARS/EGP";"Exotic-Cross";"Argentinian Peso";"Egyptian Pound"
"ARS/EUR";"Exotic-Cross";"Argentinian Peso";"Euro"
"ARS/GBP";"Exotic-Cross";"Argentinian Peso";"British Pound"
"ARS/HUF";"Exotic-Cross";"Argentinian Peso";"Hungarian Forint"
"ARS/IDR";"Exotic-Cross";"Argentinian Peso";"Indonesian Rupiah"
"ARS/ILS";"Exotic-Cross";"Argentinian Peso";"Israeli Shekel"
